"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1013",453568,"Blackmon, Charlie","1013","100.0","0.261","0.109","0.291","0.370","0.330","0.369","0.293","62","238","87.6","7.7","2243","88.8","88.58","86","470","543","-0.2","6.23","115","161","123","150","300","332","309"
"1013",518735,"Grandal, Yasmani","1013","100.0","0.175","0.244","0.172","0.419","0.360","0.388","0.216","28","160","92.6","14.2","2251","88.8","88.58","85","294","719","-0.2","6.30","111","163","125","149","296","326","300"
"1012",663697,"India, Jonathan","1012","100.0","0.270","0.142","0.333","0.412","0.350","0.338","0.246","57","211","87.0","9.4","2257","88.2","87.89","119","419","593","-0.3","6.31","106","151","116","145","299","321","290"
"1012",666971,"Gurriel Jr., Lourdes","1012","100.0","0.258","0.148","0.294","0.406","0.292","0.288","0.244","66","256","87.8","10.4","2296","88.8","88.66","142","552","460","-0.1","6.23","106","152","119","147","303","324","291"
"1012",664034,"France, Ty","1012","100.0","0.261","0.149","0.303","0.411","0.337","0.339","0.250","63","241","88.0","12.5","2243","88.7","88.30","104","516","496","-0.4","6.26","110","152","121","147","298","321","290"
"1009",664058,"Fletcher, David","1009","100.0","0.289","0.051","0.326","0.341","0.291","0.275","0.273","79","273","81.0","6.1","2253","89.4","88.75","38","423","586","-0.6","6.33","107","150","107","147","296","313","278"
"1007",543063,"Crawford, Brandon","1007","100.0","0.253","0.271","0.272","0.525","0.365","0.385","0.265","56","221","90.3","14.8","2263","88.6","87.74","162","513","494","-0.9","6.24","115","154","120","151","296","324","304"
"1005",641658,"Hampson, Garrett","1005","100.0","0.246","0.184","0.305","0.430","0.313","0.295","0.229","56","228","83.4","12.1","2319","89.3","88.49","93","445","559","-0.8","6.29","103","150","103","146","308","328","293"
"998",594807,"Duvall, Adam","998","100.0","0.217","0.238","0.250","0.454","0.307","0.312","0.216","52","240","91.6","24.2","2268","88.5","88.15","144","494","504","-0.3","6.37","106","152","119","145","306","324","296"
"992",519317,"Stanton, Giancarlo","992","100.0","0.273","0.224","0.336","0.498","0.371","0.366","0.261","56","205","97.2","8.4","2263","89.0","89.04","166","449","543","0.0","6.37","106","153","124","148","309","332","295"
"989",642086,"Smith, Dominic","989","100.0","0.241","0.116","0.301","0.358","0.296","0.344","0.271","56","232","88.1","12.9","2224","88.5","88.23","145","494","495","-0.3","6.36","114","156","127","148","295","323","304"
"984",641313,"Anderson, Tim","984","100.0","0.296","0.123","0.375","0.419","0.327","0.318","0.269","75","253","90.3","2.0","2254","89.0","89.08","164","577","407","0.1","6.29","108","152","117","146","301","322","288"
"983",657656,"Laureano, Ramón","983","100.0","0.255","0.241","0.299","0.495","0.358","0.365","0.252","56","220","89.1","12.5","2281","88.4","87.66","126","460","523","-0.7","6.35","106","152","118","146","304","325","290"
"982",669257,"Smith, Will","982","100.0","0.260","0.205","0.283","0.465","0.357","0.379","0.274","52","200","89.3","17.6","2289","88.2","86.11","74","419","563","-2.1","6.29","107","152","121","146","305","323","296"
"978",443558,"Cruz, Nelson","978","100.0","0.300","0.257","0.317","0.557","0.391","0.397","0.279","69","230","93.1","10.3","2270","88.5","87.82","148","495","483","-0.7","6.26","107","153","124","146","308","329","296"
"978",665487,"Tatis Jr., Fernando","978","100.0","0.294","0.404","0.310","0.697","0.437","0.424","0.289","64","218","92.4","11.0","2334","89.4","89.18","170","495","483","-0.2","6.30","109","153","118","147","306","328","301"
"975",666158,"Lux, Gavin","975","100.0","0.229","0.132","0.280","0.361","0.295","0.324","0.254","52","227","89.8","11.4","2225","88.6","88.28","107","450","525","-0.3","6.28","115","151","121","151","294","322","303"
"974",664023,"Happ, Ian","974","100.0","0.185","0.154","0.231","0.338","0.288","0.312","0.216","36","195","88.8","5.7","2299","89.4","89.53","132","406","568","0.1","6.39","114","154","123","149","295","322","298"
"974",572191,"Taylor, Michael A.","974","100.0","0.229","0.095","0.336","0.325","0.271","0.278","0.221","53","231","88.4","11.5","2301","89.2","88.91","199","519","455","-0.3","6.27","104","151","110","146","308","328","295"
"973",570256,"Polanco, Gregory","973","100.0","0.201","0.158","0.250","0.359","0.271","0.314","0.225","42","209","88.0","14.4","2275","88.6","88.48","148","458","515","-0.1","6.23","114","161","129","150","299","322","298"
"971",543068,"Cron, C.J.","971","100.0","0.260","0.209","0.318","0.469","0.362","0.367","0.266","51","196","89.4","14.5","2302","88.7","88.55","139","451","520","-0.2","6.30","107","152","120","146","311","335","304"
"970",571771,"Hernández, Enrique","970","100.0","0.225","0.159","0.273","0.383","0.292","0.291","0.218","51","227","90.0","17.4","2231","88.6","88.08","111","446","524","-0.5","6.23","108","152","117","146","292","322","295"
"968",573262,"Yastrzemski, Mike","968","100.0","0.230","0.249","0.265","0.479","0.348","0.327","0.219","49","213","89.3","16.3","2284","89.1","88.42","98","417","551","-0.7","6.31","117","155","117","152","294","323","304"
"964",571976,"Myers, Wil","964","100.0","0.251","0.163","0.313","0.414","0.319","0.295","0.219","54","215","86.0","8.2","2363","88.7","88.05","131","443","521","-0.6","6.30","109","153","116","148","303","327","300"
"963",622534,"Margot, Manuel","963","100.0","0.248","0.154","0.268","0.402","0.300","0.315","0.269","61","246","87.2","10.0","2232","89.0","88.99","104","490","472","0.0","6.46","103","151","107","146","303","324","291"
"963",598265,"Bradley Jr., Jackie","963","100.0","0.151","0.115","0.206","0.266","0.228","0.263","0.196","33","218","89.9","11.3","2308","88.3","85.02","164","464","499","-3.3","6.20","116","152","115","151","293","321","302"
"962",543877,"Vázquez, Christian","962","100.0","0.264","0.091","0.319","0.355","0.293","0.282","0.242","61","231","87.4","13.9","2255","89.0","88.70","91","460","502","-0.3","6.31","107","151","120","148","296","321","293"
"958",621563,"Wendle, Joey","958","100.0","0.281","0.184","0.335","0.465","0.347","0.295","0.237","64","228","87.8","6.9","2259","88.6","88.71","106","448","509","0.1","6.43","113","149","107","149","289","322","302"
"957",593934,"Sanó, Miguel","957","100.0","0.193","0.244","0.238","0.437","0.306","0.297","0.197","38","197","90.8","19.0","2258","88.2","88.05","170","436","521","-0.1","6.24","107","152","123","145","305","328","297"
"956",592626,"Pederson, Joc","956","100.0","0.234","0.206","0.275","0.439","0.315","0.336","0.245","50","214","92.0","17.9","2305","88.8","88.51","126","481","475","-0.3","6.35","117","163","125","149","293","324","301"
"955",642708,"Rosario, Amed","955","100.0","0.265","0.118","0.319","0.382","0.308","0.319","0.278","63","238","88.5","6.0","2235","88.5","88.24","103","436","519","-0.3","6.25","105","151","113","146","299","317","285"
"955",541645,"García, Avisaíl","955","100.0","0.236","0.199","0.270","0.435","0.319","0.355","0.270","58","246","91.2","8.5","2297","88.8","85.28","175","527","428","-3.5","6.20","105","151","120","145","305","324","295"
"947",592669,"Renfroe, Hunter","947","100.0","0.272","0.181","0.316","0.453","0.336","0.352","0.271","63","232","91.0","14.8","2282","88.2","87.60","132","473","474","-0.6","6.29","107","151","120","145","294","326","300"
"931",488726,"Brantley, Michael","931","100.0","0.349","0.162","0.382","0.511","0.390","0.409","0.352","82","235","90.9","9.0","2167","88.7","88.37","48","440","491","-0.3","6.33","114","157","123","153","289","327","302"
"925",640449,"Frazier, Clint","925","100.0","0.184","0.134","0.252","0.318","0.288","0.313","0.209","33","179","87.3","13.9","2269","88.8","88.90","104","350","575","0.1","6.39","106","153","121","147","308","326","288"
"923",621028,"Newman, Kevin","923","100.0","0.212","0.060","0.220","0.272","0.234","0.277","0.256","53","250","84.9","6.1","2288","88.9","88.90","44","394","529","0.0","6.28","107","151","111","147","300","311","281"
